batch,idx,story,question,correct,incorrect,swap,assigned_correct_judge_correct,assigned_correct_consultant_wins,assigned_incorrect_judge_correct,assigned_incorrect_consultant_wins,free_choice_frac_incorrect,free_choice_judge_correct,free_choice_consultant_wins,defendability_frac_incorrect
v2,108,Bramble Bush,What is the significance of the conference that Dr. Lessing is invited to?,It serves as an opportunity for Dr. Lessing to publicize his book,It offers a chance for Dr. Lessing to get feedback on the parts of his theories he's not certain of,False,0.875,0.875,0.0,1.0,0.0,1.0,1.0,0.0
v3,28,Wind,What about the settlers at Rathole was off-putting to Jan?,They were of Spanish-speaking descent,They were sick with the Venus Shadow,True,0.75,0.75,1.0,0.0,0.0,0.875,0.875,0.0
v3,53,The Non-Electronic Bug,How did Henry figure out that Skippy tipped the protagonist off?,The protagonist knew that Henry hid money from ,The protagonist told Henry so,False,1.0,1.0,0.0,1.0,0.125,1.0,0.875,0.75
v3,55,Slingshot,What was Paul's solution for not having to be in broadside battles anymore?,Using rockets instead of traditional machine guns,Using more of an element of surprise,False,0.625,0.625,0.0,1.0,0.0,0.75,0.75,0.0
v3,96,Sea Legs,What is the Terran opinion of spacemen?,Spacemen are more like aliens than humans.,Spacemen are like sailors.,True,0.75,0.75,0.625,0.375,0.0,0.5,0.5,1.0
v3,98,Red Witch of Mercury,What doesn't describe Jaro?,he'll do anything for money,he's a murderer,True,0.875,0.875,0.5,0.5,0.0,1.0,1.0,0.0
v3,149,Exile,Why was George upset with Klaft after killing Al Birken?,Klaft was asking if the Dr. could study Al Birken's body,Klaft was chastising George for killing Al,True,1.0,1.0,0.625,0.375,0.0,1.0,1.0,0.0
v3,152,The Secret Martians,What is the hypothetical problem with the amnesty?,"Should 2 people be chosen for it, it's be an impossible power struggle ",It's too powerful for any one person to wield. ,False,0.75,0.75,0.25,0.75,0.0,0.625,0.625,0.0
v3,180,Conditionally Human,Why shouldn't Anne feed the neutroids?,Neutroids can only form attachments with a limited number of people. The neutroids at the kennel belong to other people.,Neutroids are supposed to eat a nutritional paste from a mechanical feeder.,False,0.875,0.875,1.0,0.0,0.0,1.0,1.0,0.0
v3,185,Bramble Bush,What is the significance of the idea of authority?,It is one of many concerns the scientists have surrounding their research,It is the only way Dr. Lessing will get enough traction to publish his book,False,1.0,1.0,0.625,0.375,0.0,1.0,1.0,0.25
v2,21,Name Your Symptom,Why does Price have a Cure for alcoholism?,"Although he is not an alcoholic, he has a trauma-related aversion to drinking. The Cure is self-imposed.","His alcoholism led him to destructive behavior in the past, including the death of his and Mrs. Price's only child.",True,1.0,1.0,0.375,0.625,0.0,1.0,1.0,0.0
v2,33,The Jupiter Weapon,What incorrect assumption does Trella make about Blessing? ,He would be thrilled to hear that Quest is alive and well,He has no prior knowledge of the contents of Mansard's documents,False,0.625,0.625,0.375,0.625,1.0,0.375,0.625,0.0
v2,126,Breakaway,What do you think life is like for Mary and Phil after the events of the story?,"Phil closes himself off, resenting Mary for forcing his hand.","Mary is thankful that Phil did not leave, and their lives continue as normal.",False,1.0,1.0,0.0,1.0,0.0,0.875,0.875,0.0
v3,36,Time and the Woman,How did Ninon’s travel companion fare?,He was reduced to particles,He became more youthful until a baby and then ceased to exist,False,0.5,0.5,1.0,0.0,0.0,0.625,0.625,0.0
v3,66,Bullet with His Name,Why was the neighbor surprised?,He accidentally saw Ernie using his gift,He'd never seen Ernie watering the lawn before,True,0.625,0.625,0.0,1.0,1.0,0.0,1.0,1.0
v3,140,Breakaway,How long was Mary standing outside?,For almost half a day.,She had gone home but came back for the launch.,False,0.875,0.875,0.0,1.0,0.0,0.875,0.875,0.0
v3,160,Star Performer,Why was Gavir brought to Earth from Mars?,To perform in a dreamwave performance ,As punishment for dissenting against the MDC,True,1.0,1.0,0.75,0.25,0.0,1.0,1.0,0.0
v2,94,Exile,Why didn't the Tepoktans seize Al Birken after he stole the vehicle?,The Tepotkans were leaving it up to George's discretion,The Tepoktans were afraid Al Birken would kill more people,True,1.0,1.0,0.625,0.375,0.0,1.0,1.0,0.0
v3,16,The 64-Square Madhouse,What is an accurate assumption about the Machine in the article?,"It ""thinks"" in a way that is more planned than a human.",The Machine is accurate yet slow compared to other computers.,False,0.875,0.875,0.0,1.0,0.0,0.75,0.75,0.0
v3,71,Houlihan's Equation,Which best describes Houlihan's perception of America?,"He is thankful to be on a team working towards scientific progress, wherever it is",He is suspicious of anyone who is not Irish but is willing to put up with Americans,False,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.375
v3,88,The Blue Behemoth,How does Shannon feel about the circus?,"Despite it's quality, he truly cares about it. ","He needs it for money, nothing more. ",False,0.875,0.875,0.0,1.0,0.0,0.5,0.5,0.0
v3,129,Counterweight,What is the significance of the story's title?,There is a man on board hired specifically to act as the weight to keep the others balanced,It hints at the importance of the balance of weight on the ship for successful mission,True,1.0,1.0,0.0,1.0,0.875,0.125,1.0,0.0
v3,153,The Hunters,"Why did the lions Mr. George shot dissolve ""as if corroded by some invisible acid?""","They were alien shapeshifters, not actual lions",It was a part of the stage show that Mr. George was putting on ,True,1.0,1.0,0.375,0.625,0.0,1.0,1.0,0.0
v2,70,When the Mountain Shook,How does the Watcher feel about Neena and Var's arrival?,He is thankful to have company to pass his wisdom to,He is thankful to have any interaction with other humans,True,0.5,0.5,0.14285714285714285,0.8571428571428572,1.0,0.125,0.875,1.0
v2,91,The Moons of Mars,What is odd about the little boy?,He is half Martian and half human. ,He whistles a strange tune. ,False,0.75,0.75,0.2857142857142857,0.7142857142857143,0.0,0.375,0.375,0.0
v3,24,The Madman From Earth,Why did Retief want to talk to the drunk?,He wanted to know what happened nine years ago.,He didn't like how the drunk had treated him.,False,0.875,0.875,0.0,1.0,0.0,0.625,0.625,0.0
v2,32,Stranger From Space,What is an example of foreshadowing in the story?,"Koroby wishes that a man of her dreams will fall from the sky, and then an outsider does land on the planet","Yasak is too practical to buy a new litter, indicating that he will refuse to buy Koroby the expensive dresses she wants once they are married",False,0.875,0.875,0.75,0.25,0.0,1.0,1.0,0.0
v2,34,Strange Exodus,What is not something Westover discovers about the monsters in this passage?,They can be killed by administering a specific type of cut near their head,They can produce fuel which lets them fly,False,0.875,0.875,0.7142857142857143,0.2857142857142857,0.375,0.875,0.75,0.0
v2,78,Big Ancestor,How does Taphetta's initial response to Halden's evidence represent a greater dynamic between species?,"Like Taphetta, ribboneers are highly aware of their superior intellectual status, and are skeptical when presented with 'lower level' information","Like Taphetta, ribboneers are the quickest species to evolve, and are enthusiastic when presented with information that could further their advancement",False,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
v2,106,Conspiracy on Callisto,Why is course change dangerous?,"Because if one not strapped down, they are at the mercy of zero gravity and high speeds.","Because if one is not in the pressure bunks, they can go unconscious, get extremely ill, or even die from the extreme pressure. ",False,0.875,0.875,0.0,1.0,1.0,0.0,1.0,1.0
v2,121,A Gleeb for Earth,Why might the stories be true?,"The disappearance of Joe Binkle and Ed Smith, along with the letters and leftover clothes all point to it. ","The letters are all from different parts of the world, proving that different people wrote them. ",True,1.0,1.0,0.75,0.25,0.0,1.0,1.0,0.0
v3,7,Captain Chaos,"Of his fellow crew members, who does David seem to have the most concern for and why?","Karen, because she's a female crew member and because she has a bad reaction to being awoken.","John, because David first wakes him up with the apparatus and is unsure how safe the apparatus is to operate.",True,1.0,1.0,0.0,1.0,0.0,0.875,0.875,0.25
v3,29,Charity Case,What does the theme of the story reveal about how society treats the mentally ill?,There is insufficient social infrastructure to identify and care for those living with severe mental illnesses,The Christian church has too much unqualified involvement in treatment of those living with severe mental illnesses,True,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
v3,68,Star Mother,Terry's mother uses the following metaphors to describe the sky except for ______.,An ocean,A chariot pathway,True,1.0,1.0,0.125,0.875,0.125,0.875,1.0,0.0
v3,82,Bodyguard,Why was zarquil not played often by those in the area?,It was an illegal game. ,It was fabulously expensive. ,False,1.0,1.0,1.0,0.0,0.875,0.875,0.25,0.375
v3,182,Solomon's Orbit,How is Solomon like his classics?,"He is old and tired. Likewise, the cars are old and worn out. ",They are both past their prime. ,True,0.625,0.625,0.25,0.75,0.0,0.625,0.625,0.0
v3,105,The Hunted Heroes,What likely happens to Val and Ron after the story ends? ,They stay on Mars for their contract and then move on to a different project,They stay on Mars for a few more weeks before heading back to Earth,False,0.875,0.875,0.0,1.0,0.0,0.75,0.75,0.0
v3,50,Cultural Exchange,"What is Hank’s relationship to Retief?
","Hank is a farmer from Lovenbroy requesting that Retief’s division, Libraries and Education, help him solve his labor problem. 
","He is a farmer from Lovenbroy requesting that Retief’s division, Commercial Markets, help him solve his labor problem. 
",False,0.875,0.875,0.125,0.875,0.0,0.875,0.875,0.0
v3,56,Of All Possible Worlds,What had Albin had to do with the machine before he got inside it?,He had helped build it,He had seen it once before,False,0.375,0.375,0.25,0.75,0.0,0.25,0.25,0.0
v2,104,Cinderella Story,What did Orison do when she met Kraft Gerding?,She snapped at him and threatened to quit.,She went to visit him on the upstairs floors.,True,0.75,0.75,0.2857142857142857,0.7142857142857143,0.0,0.75,0.75,0.0
v3,113,Hagerty's Enzymes,"By the end of the article, would Harper's opinion of Mrs. Jacobsen at the front desk be different?","Yes, because Harper also had a frustrating experience with the robots.","No, because he would still believe that her complaints were unreasonable.",False,0.25,0.25,0.0,1.0,0.0,0.375,0.375,0.0
v3,25,The Winning of the Moon,What goes wrong just as Winship makes contact with earth?,He is starting to lose air and needs to have it replaced. ,"His communications were cut off, and he has no way to talk to Wilkin. ",True,0.375,0.375,0.2,0.8,0.0,0.75,0.75,0.875
v3,132,The Madman From Earth,How does Retief feel about his current job?,Unnecessarily busy and frustrated,"Happy with most, but annoyed with Miss Meuhl",True,1.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0
v2,56,The Radio Planet,What shocked Myles the most when he woke up on the beach?,Enemies arrived that he believed to be dead.,He was on Venus instead of Mars.,False,0.75,0.75,0.625,0.375,0.0,0.75,0.75,0.0
v2,120,The Frozen Planet,Why is Retief being sent to Jorgenson's Worlds?,He’s being sent to oppose the Soetti invasion and help with Jorgenson’s Worlds meager military.,He is carrying with him the plans for the anti-acceleration field.,True,1.0,1.0,0.25,0.75,1.0,0.5,0.5,1.0
v3,183,Spawning Ground,Why did Gwayne ask the alien leader about barmaids and puppies?,To test if he was Hennessy.,To test if he was familiar with Earth culture.,True,1.0,1.0,0.875,0.125,0.0,1.0,1.0,0.0
v3,35,Upstarts,Which is the best deccription of why the humans are feared by other alien races?,Their technology and ideas develop at a rapid pace,They have superior strategies to get past any race's defense system,True,1.0,1.0,0.2857142857142857,0.7142857142857143,0.0,1.0,1.0,0.0
v3,85,The Recruit,"What is the purpose of “the break out” instituted by the Youth Board? 
","Requiring that all youths commit one violent act as a rite of passage to adulthood is thought to eradicate any violent urges that might occur later in life. 
","Requiring that all youths commit one violent act as a rite of passage to adulthood is thought to show what skillset each teen is most capable of. 
",False,1.0,1.0,0.375,0.625,0.0,0.875,0.875,0.0
v3,137,Star Performer,Why did the producers of Dreaming Through the Universe like Gaivir?,"Gaivir appealed to the older, more wilder, demographic",They did not have to pay Gaivir for the work that he did because he was Martian,False,1.0,1.0,0.875,0.125,0.0,1.0,1.0,0.0
v3,163,Survival Tactics,Why did Alan jump towards the robot when it fell into the mud?,He saw a chance to exploit a weakness of the robot's.,The robot would not be able to see him he was right on it.,True,1.0,1.0,0.125,0.875,0.0,1.0,1.0,0.0
v3,187,Solomon's Orbit,Why do the patrolmen come to Solomon's business?,They want to know how he is sending cars into space.  ,They think he is dangerous. ,True,0.875,0.875,0.0,1.0,0.0,1.0,1.0,0.0
v2,16,The Madman From Earth,What was Retief's ultimate mistake?,Trusting Miss Meuhl to do what he said,Asking too many questions,False,0.75,0.75,0.0,1.0,0.0,1.0,1.0,0.0
v2,69,The First One,Why did Edith greet her husband the way she did when he returned home?,"In some ways, he was not the man who had left and she was nervous about the change.",She was nervous because she had not seen him in almost a year.,True,1.0,1.0,0.5,0.5,0.0,1.0,1.0,0.0
v2,89,Gun for Hire,Why do Reston-Farrell and Brett-James want Howard Temple-Tracy dead?,Howard Temple-Tracy is an evil genius recruiting people to his cult.,Howard Temple-Tracy is an evil genius trying to take over the world.,True,1.0,1.0,0.25,0.75,0.0,0.875,0.875,0.0
v2,100,Accidental Death,What is the role of humor in the story?,It showed that things amusing to some can be dangerous for others,Dark humor was a favorite of Matt's and defined his storytelling,False,1.0,1.0,0.5,0.5,0.0,1.0,1.0,0.0
v2,102,Off Course,What did the author intend the lesson of the passage to be?,Solutions for human kind aren’t going to suddenly appear from outer space,It is not possible for the planet to unite under a common cause,False,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.75
v2,110,The Ignoble Savages,Why did Skkiru think the dilettante had fixed the lots?,the dilettante was jealous of his girlfriend,the dilettante was egotistical,True,0.75,0.75,0.0,1.0,0.0,1.0,1.0,0.0
v2,122,Cakewalk to Gloryanna,What central difference between the planets Gloryanna and Mypore is most important to the story? Why is this significant to Hannah and the narrator?,"Gloryanna has outlawed and eradicated the marocca plants, while Mypore continues to cultivate the plants. Hannah and the narrator think they will be able to make an enormous profit by transporting and selling the plants to Gloryanna.","Mypore has outlawed and eradicated the marocca plants, while Gloryanna continues to cultivate them. Hannah and the narrator think they will be able to make an enormous profit by transporting and selling the plants to Mypore. ",False,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
v3,4,Hunt the Hunter,If Mia is wealthy enough to buy half the planet why is he Extrone's guide?,"Extrone is the sovereign, everyone must do as Extrone commands.",Extrone found out Mia had hunted farn beasts previously and demanded Mia act as his guide.,True,1.0,1.0,0.5,0.5,1.0,0.875,0.125,0.0
v3,17,Time and the Woman,How did Ninon remain so youthful into her 50s on Earth?,She painstakingly disciplined herself to keep wrinkles from forming,She had access to other space technologies to keep her youthful from blackmailing the Commander,True,1.0,1.0,0.8571428571428571,0.1428571428571429,0.0,1.0,1.0,0.0
v3,31,Down to the Worlds of Men,What DIDN'T Mia learn at the campsite she located?,Why the ship flew over her head,People grow old and gray on this planet,True,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
v3,102,Disturbing Sun,Which of these is not a reason for the researchers to travel to Arizona?,Mountain ranges are expected to have unique effects on the symptoms ,"It is not on the coastlines, allowing to look at data away from either coast",False,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.125
v3,124,A Gleeb for Earth,What is the conflict between Glmpauszn and the not-world?,The not-world unkowningly overlaps and disrupts his.,The not-world is full of humans that terrorize his. ,True,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
v3,186,My Lady Greensleeves,What was Bradley imprisoned for?,"She fell in love with someone outside of her specialization, which is illegal. ",She tried to change her career. She didn't want to be in Civil Service anymore. ,True,0.875,0.875,0.0,1.0,0.0,1.0,1.0,0.0
v3,195,The Winning of the Moon,What is the main conflict at the start?,The Americans are unable to tell when the scheduled explosion is going off.,The American astronauts can't get in contact with anyone who speaks English. ,False,0.625,0.625,1.0,0.0,0.0,0.875,0.875,0.0
v2,95,The Link,What is the peaceful society's ultimate goal?,Having a perfect communal concert,Finding a permanent hiding place from the Hunters,True,1.0,1.0,0.125,0.875,0.0,0.625,0.625,0.0
v3,93,Name Your Symptom,What is normal about the Incompletes?,They still live with a specific fear,They are only partially cured,True,1.0,1.0,0.42857142857142855,0.5714285714285714,0.0,1.0,1.0,0.0
v2,14,Exile,Why was George regretful for killing Al Birken?,George wanted another human to live on Tepokt with,George had damaged the ship that the Tepoktans built,True,1.0,1.0,0.7142857142857143,0.2857142857142857,0.0,1.0,1.0,0.0
v2,84,The Hairy Ones,What is the relationship between the Hairy people and the Furry people?,"The Furry people hunt the Hairy, because they were once enslaved by them.","The Furry people have a disdain for the Hairy, and frequently attack them. ",True,0.125,0.125,0.375,0.625,0.0,0.125,0.125,0.0
v2,88,A Filbert Is a Nut,What likely happens to Thaddeus after the story ends?,Various government agencies continue to study him to find out his secrets,He is sent back to the mental institution to continue his care,False,0.25,0.25,0.0,1.0,0.0,0.5,0.5,0.0
v3,2,The Hills of Home,What is the significance of Kimmy's trip?,He will be the first man on Mars,He will be the first trip to space in two years,False,0.375,0.375,0.0,1.0,0.875,0.125,1.0,1.0
v3,104,The Super Opener,Why did Kalvin continue researching on his own at home?,He wanted to better understand the technology and create a solution.,He wanted to be sure it was safe.,True,1.0,1.0,0.3333333333333333,0.6666666666666667,0.0,1.0,1.0,0.0
v2,11,Spaceman on a Spree,What happens to drafted workers?,"They train and work for a time, then retire with extra funds.","They work a short period of time, then return to normal life.",True,1.0,1.0,0.0,1.0,0.0,0.75,0.75,0.0
v2,28,Volpla,What does the narrator consider an imminent fun game?,Releasing mutants into the world.,Scattering young black-snakes inside people's homes.,True,1.0,1.0,0.16666666666666666,0.8333333333333334,0.0,0.875,0.875,0.0
v2,76,I Am a Nucleus,Who is the nucleus?,Alec,Mrs. Graham,False,0.875,0.875,0.875,0.125,0.0,0.875,0.875,0.0
v2,92,The Talkative Tree,What would have happened if the Peace State had not crash landed?,A revolution on Haurtoz would never have happened.,A different crew would eventually follow a similar path.,True,1.0,1.0,0.375,0.625,0.0,1.0,1.0,0.0
v2,117,A Gift from Earth,What characteristic of Zotul does he believe he shares with the Earthmen? ,integrity,cunning,True,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.75
v3,46,Name Your Symptom,Why has Infield attached a lightning rod to his head?,He believes it has cured him of his fear,He wants to go back to being an Incomplete,False,0.75,0.75,0.0,1.0,0.0,0.875,0.875,0.0
v3,118,Beach Scene,Why does Purnie save the humans?,Purnie blames himself for the avalanche that trapped his friends.,Purnie thinks the humans are his friends.,True,0.625,0.625,0.5714285714285714,0.4285714285714286,0.0,0.875,0.875,0.0
v3,141,Bread Overhead,What do the robots want?,To create world peace,To sell bread,True,0.0,0.0,0.0,1.0,0.0,0.125,0.125,0.0
v3,157,The Moons of Mars,What happened to the little boy’s father?,He was killed for marrying a human.,He was killed because he found gold. ,True,0.5,0.5,0.75,0.25,0.0,0.25,0.25,0.0
v3,165,The Street That Wasn't There,"Why might Mr. Chambers think that the face from his vision from ""behind the curtain"" is evil?",He felt that this new presence was trying to steal reality from humans,It was too large in scale for him to comprehend,False,0.875,0.875,0.0,1.0,0.0,0.875,0.875,0.0
v2,20,Call Him Nemesis,"If the newspapers and the police choose to continue ignoring the letters from The Scorpion, what will likely happen?","The Scorpion will step in again, leaving his signature, and likely send another letter to the newspaper as a warning to criminals. ",The Scorpion will likely retaliate against the newspapers in his own dangerous stunt. ,True,1.0,1.0,0.375,0.625,0.0,1.0,1.0,0.0
v2,31,One-Shot,Why didn't the city get evacuated?,There was no actual danger to civilians.,The CIA members disagreed on what to do.,True,0.75,0.75,0.375,0.625,0.0,1.0,1.0,0.0
v2,96,Homecoming,"How can the description the protagonist’s eyes as “aflame” be understood as symbolic? 
","It is symbolic for his drive to return home to his wife.
","It is symbolic for his drive to win the war. 
",True,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
v2,125,I'm a Stranger Here Myself,Where can a person go to be with friendly faces in Tangier?,The Cafe de Paris,The Place de France,True,0.875,0.875,0.375,0.625,0.0,1.0,1.0,0.0
v2,133,The Super Opener,Why did Kalvin hesitate to share information about the new invention?,He wanted to do more research into how it works.,He wanted to keep the invention for himself.,False,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
v2,148,Scrimshaw,How does Pop feel about Sattell?,"Pop thinks Sattell murdered his family, but he wants Sattell to live. Being near Sattell sparks lost memories.","Sattell murdered Pop's family, Pop wants Sattell dead.",True,1.0,1.0,0.125,0.875,0.0,1.0,1.0,0.0
